gene	accession	hmmsource
K00265_1.4.1.13,1.4.1.14	HMMsoil37	FOAM_DB
K00360_1.7.1.1	HMMsoil42	FOAM_DB
K00261_1.4.1.3	HMMsoil68	FOAM_DB
K00362_1.7.1.4	HMMsoil204	FOAM_DB
K04014	HMMsoil256	FOAM_DB
K00374_1.7.99.4	HMMsoil448	FOAM_DB
K00362_1.7.1.4	HMMsoil538	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil291	FOAM_DB
K00362_1.7.1.4	HMMsoil319	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil615	FOAM_DB
K00363_1.7.1.4	HMMsoil811	FOAM_DB
K00371_1.7.99.4	HMMsoil779	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil851	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil865	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil896	FOAM_DB
K02305_1.7.99.7	HMMsoil1078	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil1090	FOAM_DB
K00362_1.7.1.4	HMMsoil1334	FOAM_DB
K00366_1.7.7.1	HMMsoil1335	FOAM_DB
K15864	HMMsoil1386	FOAM_DB
K00368_1.7.2.1	HMMsoil1371	FOAM_DB
K00366_1.7.7.1	HMMsoil1567	FOAM_DB
K00362_1.7.1.4	HMMsoil1593	FOAM_DB
K00266_1.4.1.13,1.4.1.14	HMMsoil1553	FOAM_DB
K00261_1.4.1.3	HMMsoil1661	FOAM_DB
K00262_1.4.1.4	HMMsoil1685	FOAM_DB
K15864,K00368_1.7.2.1,1.7.99.1	HMMsoil1760	FOAM_DB
K00265_1.4.1.13,1.4.1.14	HMMsoil1657	FOAM_DB
K01915_6.3.1.2	HMMsoil1659	FOAM_DB
K00284_1.4.7.1	HMMsoil1790	FOAM_DB
K00362_1.7.1.4	HMMsoil1875	FOAM_DB
K10535_1.7.3.4	HMMsoil1890	FOAM_DB
K10535_1.7.3.4	HMMsoil1897	FOAM_DB
K00363_1.7.1.4	HMMsoil2099	FOAM_DB
K08361	HMMsoil2066	FOAM_DB
K00372_1.7.99.4	HMMsoil1950	FOAM_DB
K01915_6.3.1.2	HMMsoil1980	FOAM_DB
K00362_1.7.1.4	HMMsoil2132	FOAM_DB
K00366,K00392_1.7.7.1,1.8.7.1	HMMsoil2130	FOAM_DB
K00363_1.7.1.4	HMMsoil2228	FOAM_DB
K00261_1.4.1.3	HMMsoil2231	FOAM_DB
K04014	HMMsoil2335	FOAM_DB
K00366_1.7.7.1	HMMsoil2338	FOAM_DB
K00262_1.4.1.4	HMMsoil2498	FOAM_DB
