gene	accession	hmmsource
KO:K01834_5.4.2.1	HMMsoil1	FOAM_DB
KO:K01959_6.4.1.1	HMMsoil2	FOAM_DB
KO:K01959_6.4.1.1	HMMsoil3	FOAM_DB
KO:K00134_1.2.1.12	HMMsoil4	FOAM_DB
KO:K10112	HMMsoil5	FOAM_DB
KO:K00162_1.2.4.1	HMMsoil6	FOAM_DB
KO:K02049	HMMsoil7	FOAM_DB
KO:K02037	HMMsoil8	FOAM_DB
KO:K09820	HMMsoil9	FOAM_DB
KO:K02031,KO:K02032,KO:K13896	HMMsoil10	FOAM_DB
KO:K08684_1.14.13.25	HMMsoil11	FOAM_DB
KO:K00124_1.2.1.2	HMMsoil12	FOAM_DB
KO:K00249_1.3.99.3	HMMsoil13	FOAM_DB
KO:K09687	HMMsoil14	FOAM_DB
KO:K02668,KO:K13598,KO:K10125,KO:K07709_2.7.13.3	HMMsoil15	FOAM_DB
KO:K09687	HMMsoil16	FOAM_DB
KO:K11189	HMMsoil17	FOAM_DB
KO:K02010_3.6.3.30	HMMsoil18	FOAM_DB
KO:K02790,KO:K02791_2.7.1.69	HMMsoil19	FOAM_DB
KO:K13004_2.4.1.-	HMMsoil20	FOAM_DB
KO:K11191,KO:K11192_2.7.1.69	HMMsoil21	FOAM_DB
KO:K02026	HMMsoil22	FOAM_DB
KO:K00172_1.2.7.1	HMMsoil23	FOAM_DB
KO:K02027	HMMsoil24	FOAM_DB
KO:K01995	HMMsoil25	FOAM_DB
KO:K02003	HMMsoil26	FOAM_DB
KO:K02056_3.6.3.17	HMMsoil27	FOAM_DB
KO:K01996	HMMsoil28	FOAM_DB
KO:K02010_3.6.3.30	HMMsoil29	FOAM_DB
KO:K09812	HMMsoil30	FOAM_DB
KO:K00443_1.12.98.1	HMMsoil31	FOAM_DB
KO:K00382_1.8.1.4	HMMsoil32	FOAM_DB
KO:K00314_1.5.99.1	HMMsoil33	FOAM_DB
KO:K02052	HMMsoil34	FOAM_DB
KO:K02003	HMMsoil35	FOAM_DB
KO:K09817_3.6.3.-	HMMsoil36	FOAM_DB
KO:K00265_1.4.1.13,1.4.1.14	HMMsoil37	FOAM_DB
KO:K02013_3.6.3.34	HMMsoil38	FOAM_DB
KO:K02003	HMMsoil39	FOAM_DB
KO:K08483_2.7.3.9	HMMsoil40	FOAM_DB
KO:K01897_6.2.1.3	HMMsoil41	FOAM_DB
KO:K00360_1.7.1.1	HMMsoil42	FOAM_DB
KO:K01996	HMMsoil43	FOAM_DB
KO:K00219_1.3.1.34	HMMsoil44	FOAM_DB
KO:K09817_3.6.3.-	HMMsoil46	FOAM_DB
KO:K00382_1.8.1.4	HMMsoil47	FOAM_DB
KO:K00248_1.3.99.2	HMMsoil48	FOAM_DB
KO:K02768,KO:K08483,KO:K11183_2.7.1.69,2.7.3.9	HMMsoil49	FOAM_DB
KO:K01760_4.4.1.8	HMMsoil50	FOAM_DB
KO:K01995	HMMsoil51	FOAM_DB
KO:K01990	HMMsoil52	FOAM_DB
KO:K01840_5.4.2.8	HMMsoil53	FOAM_DB
KO:K11072_3.6.3.31	HMMsoil54	FOAM_DB
KO:K01990	HMMsoil55	FOAM_DB
KO:K09687	HMMsoil56	FOAM_DB
KO:K01586_4.1.1.20	HMMsoil57	FOAM_DB
KO:K11072_3.6.3.31	HMMsoil58	FOAM_DB
KO:K01223_3.2.1.86	HMMsoil59	FOAM_DB
KO:K08483_2.7.3.9	HMMsoil60	FOAM_DB
KO:K00248_1.3.99.2	HMMsoil61	FOAM_DB
KO:K00249_1.3.99.3	HMMsoil62	FOAM_DB
KO:K02008	HMMsoil63	FOAM_DB
KO:K09687	HMMsoil64	FOAM_DB
KO:K00382_1.8.1.4	HMMsoil65	FOAM_DB
KO:K03574_3.6.1.-	HMMsoil66	FOAM_DB
KO:K01457_3.5.1.54	HMMsoil67	FOAM_DB
KO:K00261_1.4.1.3	HMMsoil68	FOAM_DB
KO:K01198_3.2.1.37	HMMsoil69	FOAM_DB
KO:K12047_3.2.1.20,3.2.1.3	HMMsoil70	FOAM_DB
KO:K01426_3.5.1.4	HMMsoil71	FOAM_DB
KO:K00248_1.3.99.2	HMMsoil72	FOAM_DB
KO:K11189	HMMsoil73	FOAM_DB
KO:K02003	HMMsoil75	FOAM_DB
KO:K02575	HMMsoil76	FOAM_DB
