Module	KO	Gene	Name
Nitrogen Fixation	K02588	nifH	nitrogenase iron protein NifH
Nitrogen Fixation	K02586	nifD	nitrogenase molybdenum-iron protein alpha chain [EC:1.18.6.1]
Nitrogen Fixation	K02591	nifK	nitrogenase molybdenum-iron protein beta chain [EC:1.18.6.1]
Nitrogen Fixation	K00531	anfG	nitrogenase delta subunit [EC:1.18.6.1]
Nitrogen Fixation	K22896	vnfD	vanadium-dependent nitrogenase alpha chain [EC:1.18.6.2]
Nitrogen Fixation	K22897	vnfK	vanadium-dependent nitrogenase beta chain [EC:1.18.6.2]
Nitrogen Fixation	K22898	vnfG	vanadium nitrogenase delta subunit [EC:1.18.6.2]
Nitrogen Fixation	K22899	vnfH	vanadium nitrogenase iron protein
Nitrification (ammonia to nitrite)	K10944	pmoA-amoA	methane/ammonia monooxygenase subunit A [EC:1.14.18.3 1.14.99.39]
Nitrification (ammonia to nitrite)	K10945	pmoB-amoB	methane/ammonia monooxygenase subunit B
Nitrification (ammonia to nitrite)	K10946	pmoC-amoC	methane/ammonia monooxygenase subunit C
Nitrification (ammonia to nitrite)	K10535	hao	hydroxylamine dehydrogenase [EC:1.7.2.6]
Assimilatory nitrate reduction (nitrate to ammonia)	K00367	narB	ferredoxin-nitrate reductase [EC:1.7.7.2]
Assimilatory nitrate reduction (nitrate to ammonia)	K10534	NR	nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3]
Assimilatory nitrate reduction (nitrate to ammonia)	K00372	nasA	assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]
Assimilatory nitrate reduction (nitrate to ammonia)	K00360	nasB	assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]
Assimilatory nitrate reduction (nitrate to ammonia)	K00366	nirA	ferredoxin-nitrite reductase [EC:1.7.7.1]
Assimilatory nitrate reduction (nitrate to ammonia)	K17877	NIT-6	nitrite reductase (NAD(P)H) [EC:1.7.1.4]
Dissimilatory nitrate reduction (nitrate to ammonia)	K00370	narG, narZ, nxrA	nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]
Dissimilatory nitrate reduction (nitrate to ammonia)	K00371	narH, narY, nxrB	nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]
Dissimilatory nitrate reduction (nitrate to ammonia)	K00374	narI, narV	nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]
Dissimilatory nitrate reduction (nitrate to ammonia)	K02567	napA	periplasmic nitrate reductase NapA [EC:1.7.99.-]
Dissimilatory nitrate reduction (nitrate to ammonia)	K02568	napB	cytochrome c-type protein NapB
Dissimilatory nitrate reduction (nitrate to ammonia)	K00362	nirB	nitrite reductase (NADH) large subunit [EC:1.7.1.15]
Dissimilatory nitrate reduction (nitrate to ammonia)	K00363	nirD	nitrite reductase (NADH) small subunit [EC:1.7.1.15]
Dissimilatory nitrate reduction (nitrate to ammonia)	K03385	nrfA	nitrite reductase (cytochrome c-552) [EC:1.7.2.2]
Dissimilatory nitrate reduction (nitrate to ammonia)	K15876	nrfH	cytochrome c nitrite reductase small subunit
