gene_name	Gene_description
TIGR01282	nifD:_nitrogenase_molybdenum-iron_protein_alpha_chain
TIGR01283	nifE:_nitrogenase_MoFe_cofactor_biosynthesis_protein_NifE
TIGR01284	alt_nitrog_alph:_nitrogenase_alpha_chain
TIGR01285	nifN:_nitrogenase_molybdenum-iron_cofactor_biosynthesis
TIGR01286	nifK:_nitrogenase_molybdenum-iron_protein_beta_chain
TIGR01287	nifH:_nitrogenase_iron_protein
TIGR01290	nifB:_nitrogenase_cofactor_biosynthesis_protein_NifB
TIGR01817	nifA:_Nif-specific_regulatory_protein
TIGR01860	VNFD:_nitrogenase_vanadium-iron_protein_alpha_chain
TIGR01861	ANFD:_nitrogenase_iron-iron_protein_alpha_chain
TIGR01862	N2-ase-Ialpha:_nitrogenase_component_I_alpha_chain
TIGR02000	NifU_proper:_Fe-S_cluster_assembly_protein_NifU
TIGR02660	nifV_homocitr:_homocitrate_synthase
TIGR02662	dinitro_DRAG:_ADP-ribosyl-dinitrogen_reductase
TIGR02663	nifX:_nitrogen_fixation_protein_NifX
TIGR02929	anfG_nitrog:_Fe-only_nitrogenase_delta_subunit
TIGR02930	vnfG_nitrog:_V-containing_nitrogenase_delta_subunit
TIGR02931	anfK_nitrog:_Fe-only_nitrogenase_beta_subunit
TIGR02932	vnfK_nitrog:_V-containing_nitrogenase_beta_subunit
TIGR02933	nifM_nitrog:_nitrogen_fixation_protein_NifM
TIGR02935	TIGR02935:_probable_nitrogen_fixation_protein
TIGR02936	fdxN_nitrog:_ferredoxin_III_nif-specific
TIGR02938	nifL_nitrog:_nitrogen_fixation_negative_regulator_NifL
TIGR02012	tigrfam_recA
